society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
emaar mgf emerald floors premier,2.24,sector 65,13575.0,3,3,3,2.0,Relatively New,flat,1833.0,1,1,0,0,0,0,46,"28.4030° N, 77.0690° E",28.403,77.069
emaar palm gardens,1.76,sector 83,9263.0,3,3,3,6.0,Relatively New,flat,1500.0,0,1,0,0,0,2,165,"28.3986° N, 76.9647° E",28.3986,76.9647
tulip violet,1.38,sector 69,8966.0,3,3,1,12.0,Relatively New,flat,1392.0,0,0,0,1,0,0,86,"28.3966° N, 77.0341° E",28.3966,77.0341
vasant appartments,1.7,sector 14,7391.0,5,5,2,2.0,Old Property,flat,2556.0,1,0,1,1,0,1,71,"28.4711° N, 77.0454° E",28.4711,77.0454
ats marigold,1.7,sector 89,9714.0,3,3,3+,8.0,Under Construction,flat,1944.0,1,0,0,0,0,0,65,"28.4253° N, 76.9439° E",28.4253,76.9439
mapsko royale ville,1.12,sector 82,8000.0,3,4,2,6.0,Relatively New,flat,1500.0,0,1,0,1,0,2,174,"28.3935° N, 76.9600° E",28.3935,76.96
tulip violet,1.8,sector 69,8955.0,4,4,2,9.0,Relatively New,flat,1819.0,0,0,0,1,0,2,165,"28.3966° N, 77.0341° E",28.3966,77.0341
ansals palam vihar,2.75,sector 2,17662.0,3,3,3,2.0,Moderately Old,house,1557.0,1,0,0,1,0,2,15,"28.5095° N, 77.0320° E",28.5095,77.032
antriksh heights,0.85,sector 84,4927.0,3,3,3+,10.0,Relatively New,flat,1561.0,1,0,0,0,0,0,52,"28.3979° N, 76.9736° E",28.3979,76.9736
raheja navodaya,0.85,sector 92,4271.0,3,3,3,2.0,Relatively New,flat,1801.0,0,0,0,0,0,0,100,"28.4079° N, 76.9153° E",28.4079,76.9153
ats kocoon,2.22,sector 109,10596.0,3,3,3,20.0,Relatively New,flat,1896.0,0,1,0,0,1,0,79,"28.5073° N, 77.0089° E",28.5073,77.0089
independent,1.45,sector 28,8002.0,3,2,1,1.0,Relatively New,house,1800.0,0,0,0,0,0,0,0,"28.4728° N, 77.0865° E",28.4728,77.0865
alpha corp gurgaonone,1.2,sector 84,9448.0,2,2,1,6.0,Relatively New,flat,1149.0,0,0,0,0,0,0,13,"28.3979° N, 76.9736° E",28.3979,76.9736
emaar gurgaon greens,1.4,sector 102,8484.0,3,3,3,4.0,Relatively New,flat,1493.0,0,1,0,0,0,2,83,"28.4750° N, 76.9715° E",28.475,76.9715
smart world orchard,2.57,sector 61,15766.0,3,3,2,3.0,Under Construction,flat,1630.09,1,0,0,0,0,0,0,"28.4050° N, 77.0963° E",28.405,77.0963
emaar mgf marbella,12.0,sector 66,37037.0,5,5,3+,3.0,New Property,house,3240.0,0,1,1,1,0,2,106,"28.3925° N, 77.0541° E",28.3925,77.0541
independent,1.7,sector 108,5667.0,4,4,3+,1.0,Relatively New,house,3000.0,0,0,0,0,0,0,0,"28.5134° N, 76.9830° E",28.5134,76.983
independent,0.44,sector 11,4251.0,3,2,1,1.0,Relatively New,house,128.0,0,0,0,1,1,0,46,"28.4531° N, 77.0202° E",28.4531,77.0202
tulip violet,1.2,sector 69,10909.0,2,3,0,0.0,Relatively New,flat,1100.0,0,0,0,0,0,0,54,"28.3966° N, 77.0341° E",28.3966,77.0341
imperia the esfera,0.86,sector 37c,4886.0,3,3,2,0.0,New Property,flat,1593.0,0,0,0,0,1,0,35,"28.4515° N, 76.9882° E",28.4515,76.9882
bhagwati sadan,1.15,sector 12,5750.0,3,4,2,2.0,Old Property,flat,2000.0,1,1,0,0,1,2,28,"28.4723° N, 77.0320° E",28.4723,77.032
independent,5.0,sector 4,10101.0,3,3,2,1.0,Old Property,house,4950.0,0,0,0,0,0,0,22,"28.4738° N, 77.0107° E",28.4738,77.0107
godrej habitat,1.3,sector 3,9002.0,2,2,2,6.0,Under Construction,flat,1604.0,0,0,0,0,0,0,36,"28.4909° N, 77.0176° E",28.4909,77.0176
ild grand centra,0.95,sector 37c,5220.0,3,1,0,0.0,Relatively New,flat,1820.0,0,0,0,0,0,0,0,"28.4515° N, 76.9882° E",28.4515,76.9882
independent,3.69,sector 31,23699.0,4,4,2,2.0,Moderately Old,house,1557.0,1,1,0,1,0,2,75,"28.4528° N, 77.0498° E",28.4528,77.0498
tata gurgaon gateway,6.0,sector 113,9139.0,5,6,3+,24.0,Moderately Old,flat,7294.0,0,0,0,0,0,0,117,"28.5287° N, 77.0233° E",28.5287,77.0233
emaar mgf palm hills,1.9,sector 77,9500.0,3,4,3+,6.0,New Property,flat,1582.0,0,1,0,0,0,2,42,"28.3801° N, 76.9845° E",28.3801,76.9845
ss the leaf,1.91,sector 85,5026.0,4,6,3,6.0,Relatively New,flat,3890.0,0,1,0,0,0,0,174,"28.4042° N, 76.9513° E",28.4042,76.9513
emaar gurgaon greens,1.4,sector 102,8484.0,3,3,3,10.0,Relatively New,flat,1300.0,0,1,0,0,0,0,46,"28.4750° N, 76.9715° E",28.475,76.9715
supertech araville,0.8,sector 79,5266.0,2,2,2,12.0,New Property,flat,1688.0,1,0,0,0,0,0,49,"28.3624° N, 76.9787° E",28.3624,76.9787
independent,5.8,sector 26,32222.0,4,3,2,2.0,Relatively New,house,1800.0,0,0,1,0,0,0,21,"28.4757° N, 77.1032° E",28.4757,77.1032
kiran residency,1.5,sector 56,7500.0,3,3,3+,4.0,Relatively New,flat,1900.0,0,1,0,0,0,2,126,"28.4245° N, 77.0991° E",28.4245,77.0991
m3m woodshire,0.88,sector 107,6442.0,2,2,3+,3.0,Relatively New,flat,1236.0,0,0,0,0,0,0,99,"28.5052° N, 76.9729° E",28.5052,76.9729
godrej air,2.5,sector 85,13797.0,4,5,3+,16.0,Under Construction,flat,2013.0,1,0,0,1,1,2,44,"28.4042° N, 76.9513° E",28.4042,76.9513
huda plots,2.95,sector 56,20359.0,2,2,2,1.0,Moderately Old,house,1449.0,0,0,0,0,0,0,31,"28.4245° N, 77.0991° E",28.4245,77.0991
bestech park view residency,0.55,sector 2,8461.0,1,1,2,7.0,Moderately Old,flat,588.0,0,0,0,0,0,0,31,"28.5095° N, 77.0320° E",28.5095,77.032
global hill view,0.33,sector 11,4271.0,2,2,0,11.0,Relatively New,flat,761.0,0,0,0,0,0,0,0,"28.4531° N, 77.0202° E",28.4531,77.0202
godrej nature plus,1.65,sector 33,8266.0,3,3,3,2.0,Under Construction,flat,2218.0,0,1,0,0,0,0,37,"28.4420° N, 77.0207° E",28.442,77.0207
bptp terra,1.78,sector 37d,8124.0,4,3,3,10.0,Relatively New,flat,1983.0,0,1,0,0,0,0,127,"28.4478° N, 76.9703° E",28.4478,76.9703
bptp terra,1.95,sector 37d,14444.0,4,3,3,7.0,Under Construction,flat,1650.0,0,0,0,0,0,0,53,"28.4478° N, 76.9703° E",28.4478,76.9703
sai kripa floors 5,0.9,sector 11,11250.0,2,5,3,3.0,Relatively New,house,800.0,0,0,0,0,0,0,0,"28.4531° N, 77.0202° E",28.4531,77.0202
sobha city,4.1,sector 108,23401.0,4,5,3,25.0,New Property,flat,2343.0,1,1,0,0,0,1,97,"28.5134° N, 76.9830° E",28.5134,76.983
independent,3.0,sector 17,11111.0,4,4,0,1.0,Old Property,house,3000.0,0,0,0,0,0,0,0,"28.4791° N, 77.0608° E",28.4791,77.0608
lotus homz,0.36,sector 111,8888.0,1,1,1,10.0,Relatively New,flat,450.0,0,0,0,0,0,0,44,"28.5238° N, 77.0320° E",28.5238,77.032
unitech aspen greens,6.95,sector 50,32176.0,3,3,1,2.0,Moderately Old,house,2160.0,0,1,0,0,0,0,160,"28.4178° N, 77.0628° E",28.4178,77.0628
paras dews,1.4,sector 106,6000.0,3,4,3+,12.0,Under Construction,flat,1593.0,1,1,0,0,1,0,55,"28.5007° N, 77.0003° E",28.5007,77.0003
ats tourmaline,1.5,sector 109,6976.0,3,4,3+,4.0,Relatively New,flat,1797.0,0,1,0,0,0,0,39,"28.5073° N, 77.0089° E",28.5073,77.0089
supertech araville,0.71,sector 79,5522.0,2,2,0,9.0,Under Construction,flat,1295.0,0,0,0,0,0,0,0,"28.3624° N, 76.9787° E",28.3624,76.9787
puri diplomatic greens,2.58,sector 111,11727.0,3,4,2,9.0,Relatively New,flat,2200.05,0,1,0,0,0,0,101,"28.5238° N, 77.0320° E",28.5238,77.032
central park resorts,3.65,sector 48,15240.0,3,3,3+,9.0,Relatively New,flat,2395.01,0,0,0,0,1,2,157,"28.4177° N, 77.0359° E",28.4177,77.0359
godrej summit,1.3,sector 104,7893.0,3,3,3,8.0,New Property,flat,1490.0,0,0,0,0,1,0,103,"28.4788° N, 76.9960° E",28.4788,76.996
independent,13.5,sector 26,29880.0,5,5,3+,2.0,Relatively New,house,4518.0,1,1,0,1,1,1,49,"28.4757° N, 77.1032° E",28.4757,77.1032
antriksh heights,1.05,sector 84,5011.0,4,4,3+,3.0,New Property,flat,1896.0,1,0,0,0,0,0,66,"28.3979° N, 76.9736° E",28.3979,76.9736
independent,2.95,sector 56,20233.0,2,2,0,1.0,Moderately Old,house,1458.0,0,0,0,0,0,0,0,"28.4245° N, 77.0991° E",28.4245,77.0991
corona optus,1.44,sector 37c,7236.0,3,3,3+,2.0,Relatively New,flat,1789.0,1,1,0,0,1,0,49,"28.4515° N, 76.9882° E",28.4515,76.9882
godrej,1.33,sector 79,8531.0,2,2,3,6.0,Relatively New,flat,1411.0,1,0,0,0,0,0,158,"28.3624° N, 76.9787° E",28.3624,76.9787
dlf city plots,13.5,sector 26,29880.0,5,5,3,2.0,Old Property,house,4518.0,1,1,1,1,0,2,110,"28.4757° N, 77.1032° E",28.4757,77.1032
m3m woodshire,1.3,sector 107,8922.0,3,3,3+,4.0,Relatively New,flat,1554.0,0,0,0,1,0,2,174,"28.5052° N, 76.9729° E",28.5052,76.9729
signature global city 92,0.99,sector 92,6622.0,3,2,3,1.0,New Property,flat,1661.0,0,0,0,0,1,0,37,"28.4079° N, 76.9153° E",28.4079,76.9153
imperia the esfera,0.9,sector 37c,6272.0,3,3,3,9.0,Relatively New,flat,1435.0,0,0,0,0,0,0,66,"28.4515° N, 76.9882° E",28.4515,76.9882
apex our homes,0.35,sector 37c,3783.0,2,2,1,7.0,Relatively New,flat,850.0,0,0,0,0,0,2,158,"28.4515° N, 76.9882° E",28.4515,76.9882
bestech park view residency,1.4,sector 2,7865.0,3,3,3+,6.0,Old Property,flat,1611.0,0,0,0,0,0,1,107,"28.5095° N, 77.0320° E",28.5095,77.032
bestech park view ananda,0.95,sector 81,10626.0,2,2,2,2.0,Relatively New,flat,1112.0,0,0,0,0,0,2,104,"28.3867° N, 76.9485° E",28.3867,76.9485
chd avenue,1.25,sector 71,6597.0,3,4,2,14.0,Relatively New,flat,1577.0,1,1,0,1,1,1,128,"28.4104° N, 77.0281° E",28.4104,77.0281
m3m ikonic,1.78,sector 68,9128.0,3,3,3+,27.0,Relatively New,flat,1845.0,0,0,0,0,0,2,126,"28.3853° N, 77.0484° E",28.3853,77.0484
assotech blith,0.82,sector 99,6007.0,2,2,3,0.0,New Property,flat,1365.0,0,0,0,0,0,0,51,"28.4640° N, 76.9614° E",28.464,76.9614
pareena mi casa,1.1,sector 68,9020.0,2,2,3,13.0,New Property,flat,1244.0,0,0,0,0,0,0,106,"28.3853° N, 77.0484° E",28.3853,77.0484
independent,0.6,sector 9,10753.0,3,3,1,2.0,Relatively New,house,558.0,0,0,0,0,0,0,0,"28.4603° N, 77.0000° E",28.4603,77.0
experion the heartsong,1.68,sector 108,8387.0,3,3,3+,4.0,Relatively New,flat,1338.29,1,1,0,0,0,2,86,"28.5134° N, 76.9830° E",28.5134,76.983
sare crescent parc,0.65,sector 92,4596.0,3,3,3,3.0,Moderately Old,flat,1571.0,0,0,0,0,0,0,44,"28.4079° N, 76.9153° E",28.4079,76.9153
m3m capital,3.25,sector 113,14142.0,4,4,3+,34.0,Under Construction,flat,2553.0,1,1,0,1,0,0,115,"28.5287° N, 77.0233° E",28.5287,77.0233
dlf new town heights,1.9,sector 90,6967.0,4,4,3+,19.0,Relatively New,flat,2512.0,0,1,1,0,0,2,174,"28.4085° N, 76.9369° E",28.4085,76.9369
emaar mgf marbella,9.01,sector 66,16066.0,4,4,3+,3.0,Relatively New,house,5574.7,0,1,1,0,0,0,122,"28.3925° N, 77.0541° E",28.3925,77.0541
raheja vedaanta,0.95,sector 108,5214.0,3,3,3,3.0,Relatively New,flat,1649.0,0,0,0,0,1,0,95,"28.5134° N, 76.9830° E",28.5134,76.983
bestech park view grand spa,3.0,sector 81,9419.0,4,5,2,6.0,Relatively New,flat,2882.0,0,1,0,0,0,2,110,"28.3867° N, 76.9485° E",28.3867,76.9485
dlf the ultima,2.21,sector 81,10365.0,3,3,3+,3.0,Relatively New,flat,1881.0,0,1,0,0,0,1,149,"28.3867° N, 76.9485° E",28.3867,76.9485
independent,0.45,sector 7,5000.0,3,2,0,1.0,Old Property,house,1000.0,0,0,0,0,0,0,0,"28.4644° N, 77.0143° E",28.4644,77.0143
independent,9.9,sector 105,49500.0,2,2,2,3.0,Moderately Old,house,2000.0,0,0,0,0,0,0,0,"28.4952° N, 77.0114° E",28.4952,77.0114
godrej oasis,1.0,sector 88a,6896.0,2,2,3,7.0,Relatively New,flat,1611.0,1,0,0,0,0,0,72,"28.4347° N, 76.9557° E",28.4347,76.9557
microtek greenburg,1.45,sector 86,9797.0,3,2,3,8.0,Relatively New,flat,1480.0,0,0,0,0,0,1,72,"28.3986° N, 76.9384° E",28.3986,76.9384
zara aavaas,0.2,sector 104,6644.0,1,2,2,3.0,New Property,flat,334.0,0,0,0,0,0,0,67,"28.4788° N, 76.9960° E",28.4788,76.996
indiabulls enigma,3.45,sector 110,10147.0,4,4,3,9.0,Moderately Old,flat,3077.0,0,1,0,0,0,2,125,"28.5145° N, 77.0197° E",28.5145,77.0197
tulip petals,1.55,sector 89,10000.0,3,2,3,6.0,Moderately Old,flat,1403.0,0,0,1,0,0,2,111,"28.4253° N, 76.9439° E",28.4253,76.9439
godrej nature plus,1.1,sector 33,7971.0,2,2,2,14.0,Under Construction,flat,1533.0,0,0,0,0,0,0,56,"28.4420° N, 77.0207° E",28.442,77.0207
experion windchants,3.65,sector 112,11428.0,3,5,2,3.0,Relatively New,flat,2800.0,0,1,0,0,0,0,72,"28.5189° N, 77.0183° E",28.5189,77.0183
tulip violet,1.4,sector 69,9102.0,3,3,1,12.0,Relatively New,flat,1392.0,0,0,0,0,0,2,157,"28.3966° N, 77.0341° E",28.3966,77.0341
dlf city plots phase 2,10.5,sector 25,29022.0,4,4,2,2.0,Old Property,house,3618.0,0,1,0,1,0,2,91,"28.4844° N, 77.0860° E",28.4844,77.086
pyramid elite,0.45,sector 86,7846.0,2,2,1,12.0,Under Construction,flat,637.0,0,0,0,0,0,0,30,"28.3986° N, 76.9384° E",28.3986,76.9384
dlf regal gardens,1.78,sector 90,8036.0,4,4,3+,8.0,Relatively New,flat,2000.0,0,0,0,0,0,0,126,"28.4085° N, 76.9369° E",28.4085,76.9369
m3m woodshire,0.9,sector 107,6588.0,2,2,3+,14.0,New Property,flat,1236.0,0,0,0,0,0,0,67,"28.5052° N, 76.9729° E",28.5052,76.9729
shree vardhman victoria,1.64,sector 70,8384.0,3,5,3,3.0,Relatively New,flat,1527.0,0,1,0,0,0,0,51,"28.3968° N, 77.0233° E",28.3968,77.0233
ss hibiscus,12.5,sector 50,40850.0,4,4,3+,2.0,Relatively New,house,3060.0,1,1,0,0,0,1,160,"28.4178° N, 77.0628° E",28.4178,77.0628
m3m merlin,3.4,sector 67,14418.0,3,4,3,17.0,Relatively New,flat,2134.0,0,1,0,0,0,2,174,"28.3859° N, 77.0608° E",28.3859,77.0608
corona optus,1.44,sector 37c,7250.0,3,3,3+,8.0,New Property,flat,2211.0,0,1,0,0,0,0,37,"28.4515° N, 76.9882° E",28.4515,76.9882
ambience creacions,1.99,sector 22,15546.0,2,2,2,9.0,New Property,flat,1285.0,0,0,0,0,0,0,49,"28.5072° N, 77.0640° E",28.5072,77.064
independent,0.35,sector 9,9722.0,2,2,1,2.0,Old Property,house,360.0,0,0,0,0,0,0,0,"28.4603° N, 77.0000° E",28.4603,77.0
tulip violet,1.3,sector 69,8445.0,3,3,1,12.0,Relatively New,flat,1392.0,0,0,0,1,0,2,94,"28.3966° N, 77.0341° E",28.3966,77.0341
godrej nature plus,1.5,sector 33,10200.0,2,2,3+,2.0,Under Construction,flat,1539.0,0,0,0,0,0,0,87,"28.4420° N, 77.0207° E",28.442,77.0207
eldeco mansionz,4.95,sector 48,20599.0,7,7,3+,2.0,Old Property,house,2403.0,1,1,1,1,0,2,145,"28.4177° N, 77.0359° E",28.4177,77.0359
vatika independent floors,1.45,sector 82,8056.0,4,3,0,1.0,Relatively New,flat,1800.0,0,0,0,0,0,0,50,"28.3935° N, 76.9600° E",28.3935,76.96
ramsons kshitij,0.45,sector 95,4591.0,2,2,1,2.0,Relatively New,flat,887.0,1,0,0,0,0,0,89,"28.4172° N, 76.9081° E",28.4172,76.9081
dlf belvedere towers,3.7,sector 25,17619.0,4,4,3,18.0,Old Property,flat,2333.0,0,1,0,0,0,2,26,"28.4844° N, 77.0860° E",28.4844,77.086
tulip violet,1.32,sector 69,8411.0,3,3,1,12.0,Relatively New,flat,1419.0,0,0,0,1,0,0,86,"28.3966° N, 77.0341° E",28.3966,77.0341
dlf the primus,1.85,sector 82a,10283.0,3,3,3+,2.0,Relatively New,flat,1668.0,0,0,0,0,0,2,44,"28.3858° N, 76.9686° E",28.3858,76.9686
experion the heartsong,0.93,sector 108,6079.0,2,3,3,10.0,Relatively New,flat,1161.0,0,0,0,0,0,0,81,"28.5134° N, 76.9830° E",28.5134,76.983
independent,1.45,sector 24,2984.0,3,3,1,2.0,Old Property,house,540.0,0,0,0,0,0,0,9,"28.4939° N, 77.1038° E",28.4939,77.1038
dlf the ultima,2.26,sector 81,10761.0,3,4,3+,17.0,New Property,flat,1900.0,0,1,0,0,0,1,174,"28.3867° N, 76.9485° E",28.3867,76.9485
ild grand,0.66,sector 37c,5038.0,2,2,3+,14.0,Relatively New,flat,1310.0,0,0,0,0,0,0,60,"28.4515° N, 76.9882° E",28.4515,76.9882
emaar mgf the palm drive,3.45,sector 66,15681.0,3,4,3,6.0,Relatively New,flat,2000.0,0,1,0,0,0,2,95,"28.3925° N, 77.0541° E",28.3925,77.0541
bptp terra,1.75,sector 37d,7987.0,4,4,3,7.0,Relatively New,flat,2100.0,0,0,0,0,1,2,120,"28.4478° N, 76.9703° E",28.4478,76.9703
emaar palm gardens,1.73,sector 83,9105.0,3,3,3,5.0,Relatively New,flat,1600.0,0,1,0,0,0,2,174,"28.3986° N, 76.9647° E",28.3986,76.9647
mapsko paradise,0.95,sector 83,6300.0,3,3,3,1.0,Moderately Old,flat,1489.0,0,0,0,0,0,0,0,"28.3986° N, 76.9647° E",28.3986,76.9647
shapoorji pallonji joyville gurugram,1.41,sector 102,10307.0,2,2,3,0.0,Relatively New,flat,1238.0,0,0,0,0,1,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
independent,2.99,sector 56,20635.0,4,4,2,2.0,Moderately Old,house,1449.0,1,1,0,1,0,2,49,"28.4245° N, 77.0991° E",28.4245,77.0991
dlf the skycourt,1.55,sector 86,8031.0,3,3,1,12.0,Relatively New,flat,1900.0,0,0,0,1,0,2,153,"28.3986° N, 76.9384° E",28.3986,76.9384
mapsko mount ville,1.4,sector 79,9395.0,3,3,3,2.0,New Property,flat,1656.0,0,0,0,0,0,2,112,"28.3624° N, 76.9787° E",28.3624,76.9787
m3m merlin,3.4,sector 67,14418.0,3,4,3,15.0,Relatively New,flat,2123.0,0,1,0,0,0,2,110,"28.3859° N, 77.0608° E",28.3859,77.0608
assotech blith,1.9,sector 99,6702.0,4,4,3+,2.0,New Property,flat,2835.0,0,0,0,0,0,0,51,"28.4640° N, 76.9614° E",28.464,76.9614
international city by sobha phase 2,8.48,sector 109,23556.0,4,6,3+,3.0,New Property,house,3600.0,1,1,1,1,0,0,153,"28.5073° N, 77.0089° E",28.5073,77.0089
shapoorji pallonji joyville gurugram,2.04,sector 102,14068.0,3,3,3+,1.0,Relatively New,flat,1644.0,0,0,0,0,0,0,72,"28.4750° N, 76.9715° E",28.475,76.9715
tulip violet,1.9,sector 69,9452.0,4,4,2,6.0,Relatively New,flat,1743.0,0,0,1,0,0,0,174,"28.3966° N, 77.0341° E",28.3966,77.0341
essel tower,2.2,sector 28,12500.0,3,4,3+,3.0,Moderately Old,flat,1956.0,0,1,0,0,0,1,0,"28.4728° N, 77.0865° E",28.4728,77.0865
ansal maple crescent,1.35,sector 43,10037.0,3,3,3,2.0,Old Property,flat,1320.0,0,0,0,0,1,2,93,"28.4629° N, 77.0772° E",28.4629,77.0772
mapsko royale ville,1.22,sector 82,7176.0,3,5,3+,10.0,Relatively New,flat,2000.0,0,1,0,1,0,2,76,"28.3935° N, 76.9600° E",28.3935,76.96
apex our homes,0.33,sector 37c,3567.0,2,2,1,3.0,Relatively New,flat,850.0,0,0,0,0,0,2,158,"28.4515° N, 76.9882° E",28.4515,76.9882
godrej nature plus,1.31,sector 33,15982.0,2,2,2,4.0,Under Construction,flat,85.0,0,0,0,0,0,0,92,"28.4420° N, 77.0207° E",28.442,77.0207
m3m woodshire,0.75,sector 107,5490.0,2,2,3+,14.0,Relatively New,flat,1201.0,0,0,0,1,0,0,174,"28.5052° N, 76.9729° E",28.5052,76.9729
emaar digihomes,2.15,sector 62,14257.0,2,2,3,31.0,Under Construction,flat,1676.0,0,0,0,0,0,0,101,"28.4139° N, 77.0886° E",28.4139,77.0886
pyramid urban,0.53,sector 67a,8967.0,2,2,1,6.0,Relatively New,flat,657.0,0,0,0,0,1,2,49,"28.3960° N, 77.0372° E",28.396,77.0372
puri diplomatic greens,2.65,sector 111,11963.0,3,4,3+,19.0,Relatively New,flat,2005.0,1,1,1,1,0,2,65,"28.5238° N, 77.0320° E",28.5238,77.032
international city by sobha phase 2,9.4,sector 109,26111.0,5,6,3+,2.0,Relatively New,house,3600.0,1,1,1,1,0,2,147,"28.5073° N, 77.0089° E",28.5073,77.0089
bptp terra,1.72,sector 37d,9497.0,3,3,3,9.0,Relatively New,flat,1373.0,1,0,0,0,0,2,24,"28.4478° N, 76.9703° E",28.4478,76.9703
sbtl caladium,1.26,sector 109,6542.0,3,2,3,8.0,Relatively New,flat,1701.0,0,0,0,0,0,0,103,"28.5073° N, 77.0089° E",28.5073,77.0089
tarc maceo,1.9,sector 91,6975.0,4,4,3,9.0,Relatively New,flat,2465.0,0,1,0,0,0,0,120,"28.4014° N, 76.9225° E",28.4014,76.9225
ansal api esencia,1.85,sector 67,8222.0,3,3,3,1.0,Moderately Old,house,278.0,0,0,0,0,0,0,49,"28.3859° N, 77.0608° E",28.3859,77.0608
ramprastha the atrium,0.9,sector 37d,6225.0,3,3,2,13.0,Relatively New,flat,1185.0,0,0,0,0,0,1,37,"28.4478° N, 76.9703° E",28.4478,76.9703
m3m merlin,2.9,sector 67,14167.0,3,3,3,0.0,Relatively New,flat,2047.01,0,0,0,0,1,2,49,"28.3859° N, 77.0608° E",28.3859,77.0608
independent,4.35,sector 25,32222.0,5,4,3,3.0,Old Property,house,1350.0,0,1,0,0,0,0,49,"28.4844° N, 77.0860° E",28.4844,77.086
independent,1.8,sector 39,21871.0,1,1,2,3.0,Relatively New,house,800.0,0,0,0,0,0,0,0,"28.4434° N, 77.0515° E",28.4434,77.0515
independent,0.6,sector 9,10753.0,2,2,1,1.0,Moderately Old,house,558.0,0,0,0,0,0,0,8,"28.4603° N, 77.0000° E",28.4603,77.0
signature andour heights,0.39,sector 71,9846.0,1,1,2,1.0,New Property,flat,294.0,0,0,0,0,0,0,0,"28.4104° N, 77.0281° E",28.4104,77.0281
bestech spa signature,4.45,sector 81,10595.0,4,4,3+,8.0,Relatively New,flat,3850.0,1,1,0,1,1,2,49,"28.3867° N, 76.9485° E",28.3867,76.9485
indiabulls centrum park,2.2,sector 103,7652.0,4,6,3+,4.0,Relatively New,flat,2602.0,0,1,0,0,0,2,108,"28.4949° N, 76.9845° E",28.4949,76.9845
bhagwati sadan,1.15,sector 12,5500.0,3,4,2,2.0,Old Property,flat,2000.0,0,1,0,0,1,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
independent,3.71,sector 12,19818.0,3,3,1,4.0,Moderately Old,house,1872.0,0,0,0,1,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
emaar mgf the palm drive,3.0,sector 66,15384.0,3,3,2,12.0,Relatively New,flat,1950.08,0,1,0,0,0,0,96,"28.3925° N, 77.0541° E",28.3925,77.0541
independent,8.0,sector 56,9654.0,10,10,3+,4.0,Relatively New,house,8286.0,1,1,0,1,0,1,107,"28.4245° N, 77.0991° E",28.4245,77.0991
ats triumph,1.85,sector 104,8078.0,3,3,3+,24.0,Relatively New,flat,2072.0,0,1,0,0,0,0,174,"28.4788° N, 76.9960° E",28.4788,76.996
independent,8.0,sector 38,25616.0,10,10,3+,1.0,Relatively New,house,3123.0,0,0,0,0,0,0,0,"28.4347° N, 77.0430° E",28.4347,77.043
independent,0.9,sector 7,10000.0,2,4,3,3.0,Old Property,house,900.0,0,1,0,0,1,2,44,"28.4644° N, 77.0143° E",28.4644,77.0143
huda ashok vihar phase,0.43,sector 4,6615.0,2,2,1,2.0,Relatively New,flat,722.0,0,0,0,0,0,0,7,"28.4738° N, 77.0107° E",28.4738,77.0107
m3m woodshire,0.8,sector 107,5856.0,2,2,3+,6.0,Relatively New,flat,1204.0,0,0,0,1,0,2,174,"28.5052° N, 76.9729° E",28.5052,76.9729
unitech uniworld resorts,9.55,sector 33,19293.0,6,7,3+,2.0,Relatively New,house,4950.0,1,1,1,1,0,2,126,"28.4420° N, 77.0207° E",28.442,77.0207
unitech nirvana birch court,6.8,sector 50,31481.0,4,4,3+,2.0,Old Property,house,2160.0,1,1,0,1,0,0,105,"28.4178° N, 77.0628° E",28.4178,77.0628
godrej oasis,1.19,sector 88a,10162.0,2,2,3,15.0,Relatively New,flat,1387.0,1,0,0,1,0,2,174,"28.4347° N, 76.9557° E",28.4347,76.9557
bestech park view residency,0.98,sector 2,6961.0,2,2,3,0.0,Moderately Old,flat,1281.0,0,0,0,0,0,0,85,"28.5095° N, 77.0320° E",28.5095,77.032
godrej nature plus,1.67,sector 33,10500.0,3,2,2,18.0,Under Construction,flat,1857.0,0,0,0,0,0,0,67,"28.4420° N, 77.0207° E",28.442,77.0207
ild grand,1.35,sector 37c,7142.0,3,3,0,1.0,New Property,flat,1820.0,0,0,0,0,0,0,60,"28.4515° N, 76.9882° E",28.4515,76.9882
ss the leaf,1.3,sector 85,7926.0,2,2,2,17.0,New Property,flat,1484.0,0,0,0,0,0,0,90,"28.4042° N, 76.9513° E",28.4042,76.9513
sare crescent parc,0.87,sector 92,4971.0,4,4,2,2.0,Moderately Old,flat,1584.0,0,0,1,0,0,1,115,"28.4079° N, 76.9153° E",28.4079,76.9153
raheja vedas,2.15,sector 108,4134.0,3,4,3+,12.0,Relatively New,flat,4600.0,1,0,0,0,0,0,0,"28.5134° N, 76.9830° E",28.5134,76.983
m3m merlin,4.5,sector 67,14267.0,4,4,3+,15.0,Relatively New,flat,2854.0,0,1,0,0,0,2,158,"28.3859° N, 77.0608° E",28.3859,77.0608
ss the leaf,1.2,sector 85,7317.0,2,2,3+,14.0,Relatively New,flat,1380.0,0,0,1,0,0,0,141,"28.4042° N, 76.9513° E",28.4042,76.9513
